Tree;Abundance;Zones;Forests
19;0;4;Restinga1
20;1;4;Restinga1
21;0;4;Restinga1
22;0;4;Restinga1
23;0;4;Restinga1
24;2;4;Restinga1
25;0;4;Restinga1
26;1;4;Restinga1
27;0;4;Restinga1
28;1;4;Restinga1
29;1;4;Restinga1
30;0;4;Restinga1
31;1;4;Restinga1
32;0;4;Restinga1
33;0;4;Restinga1
34;0;4;Restinga1
35;0;4;Restinga1
36;0;4;Restinga1
37;0;4;Restinga1
38;0;4;Restinga1
39;0;4;Restinga1
40;0;4;Restinga1
41;0;4;Restinga1
42;2;4;Restinga1
43;1;4;Restinga1
44;0;4;Restinga1
45;0;4;Restinga1
46;0;4;Restinga1
47;0;4;Restinga1
48;1;4;Restinga1
49;0;4;Restinga1
50;0;4;Restinga1
51;0;4;Restinga1
52;0;4;Restinga1
53;0;4;Restinga1
54;0;4;Restinga1
55;0;4;Restinga1
56;0;4;Restinga1
57;1;4;Restinga1
58;0;4;Restinga1
59;1;4;Restinga1
60;0;4;Restinga1
61;0;4;Restinga1
62;0;4;Restinga1
63;0;4;Restinga1
64;0;4;Restinga1
65;0;4;Restinga1
66;0;4;Restinga1
67;0;4;Restinga1
68;0;4;Restinga1
69;1;4;Restinga1
70;3;4;Restinga1
71;0;4;Restinga1
1;0;5;Restinga1
2;0;5;Restinga1
3;0;5;Restinga1
4;0;5;Restinga1
5;0;5;Restinga1
6;0;5;Restinga1
7;0;5;Restinga1
8;0;5;Restinga1
9;0;5;Restinga1
10;0;5;Restinga1
11;0;5;Restinga1
12;0;5;Restinga1
13;0;5;Restinga1
14;0;5;Restinga1
15;0;5;Restinga1
16;0;5;Restinga1
17;4;5;Restinga1
18;0;5;Restinga1
19;0;5;Restinga1
20;0;5;Restinga1
21;0;5;Restinga1
22;0;5;Restinga1
23;0;5;Restinga1
24;0;5;Restinga1
25;0;5;Restinga1
26;0;5;Restinga1
27;0;5;Restinga1
28;0;5;Restinga1
29;0;5;Restinga1
30;0;5;Restinga1
31;0;5;Restinga1
32;0;5;Restinga1
33;0;5;Restinga1
34;0;5;Restinga1
35;0;5;Restinga1
36;0;5;Restinga1
37;0;5;Restinga1
38;0;5;Restinga1
39;0;5;Restinga1
40;0;5;Restinga1
41;0;5;Restinga1
42;0;5;Restinga1
43;0;5;Restinga1
44;0;5;Restinga1
45;0;5;Restinga1
46;0;5;Restinga1
47;0;5;Restinga1
48;0;5;Restinga1
49;0;5;Restinga1
50;0;5;Restinga1
51;0;5;Restinga1
52;0;5;Restinga1
53;0;5;Restinga1
54;0;5;Restinga1
55;0;5;Restinga1
56;0;5;Restinga1
57;0;5;Restinga1
58;0;5;Restinga1
59;0;5;Restinga1
60;0;5;Restinga1
61;0;5;Restinga1
62;0;5;Restinga1
63;0;5;Restinga1
64;0;5;Restinga1
65;0;5;Restinga1
66;0;5;Restinga1
67;0;5;Restinga1
68;0;5;Restinga1
69;0;5;Restinga1
70;0;5;Restinga1
71;0;5;Restinga1
1;0;1;Restinga2
2;0;1;Restinga2
3;1;1;Restinga2
4;4;1;Restinga2
5;1;1;Restinga2
6;0;1;Restinga2
7;5;1;Restinga2
8;2;1;Restinga2
9;2;1;Restinga2
10;0;1;Restinga2
11;0;1;Restinga2
12;0;1;Restinga2
13;0;1;Restinga2
14;2;1;Restinga2
15;5;1;Restinga2
16;1;1;Restinga2
17;0;1;Restinga2
18;2;1;Restinga2
19;0;1;Restinga2
20;3;1;Restinga2
21;5;1;Restinga2
22;0;1;Restinga2
23;1;1;Restinga2
24;3;1;Restinga2
25;1;1;Restinga2
26;0;1;Restinga2
27;0;1;Restinga2
28;1;1;Restinga2
29;0;1;Restinga2
30;9;1;Restinga2
31;0;1;Restinga2
32;3;1;Restinga2
33;0;1;Restinga2
34;1;1;Restinga2
35;2;1;Restinga2
36;1;1;Restinga2
37;0;1;Restinga2
38;1;1;Restinga2
39;2;1;Restinga2
40;2;1;Restinga2
41;0;1;Restinga2
42;0;1;Restinga2
43;2;1;Restinga2
44;6;1;Restinga2
45;5;1;Restinga2
46;0;1;Restinga2
47;1;1;Restinga2
48;2;1;Restinga2
49;2;1;Restinga2
50;5;1;Restinga2
51;0;1;Restinga2
52;0;1;Restinga2
53;6;1;Restinga2
1;0;2;Restinga2
2;1;2;Restinga2
3;1;2;Restinga2
4;3;2;Restinga2
5;1;2;Restinga2
6;1;2;Restinga2
7;1;2;Restinga2
8;1;2;Restinga2
9;1;2;Restinga2
10;2;2;Restinga2
11;0;2;Restinga2
12;2;2;Restinga2
13;1;2;Restinga2
14;0;2;Restinga2
15;3;2;Restinga2
16;4;2;Restinga2
17;1;2;Restinga2
18;1;2;Restinga2
19;0;2;Restinga2
20;2;2;Restinga2
21;2;2;Restinga2
22;0;2;Restinga2
23;1;2;Restinga2
24;4;2;Restinga2
25;1;2;Restinga2
26;0;2;Restinga2
27;0;2;Restinga2
28;2;2;Restinga2
29;10;2;Restinga2
30;3;2;Restinga2
31;1;2;Restinga2
32;7;2;Restinga2
33;2;2;Restinga2
34;4;2;Restinga2
35;1;2;Restinga2
36;0;2;Restinga2
37;1;2;Restinga2
38;0;2;Restinga2
39;6;2;Restinga2
40;4;2;Restinga2
41;0;2;Restinga2
42;2;2;Restinga2
43;2;2;Restinga2
44;6;2;Restinga2
45;1;2;Restinga2
46;1;2;Restinga2
47;0;2;Restinga2
48;4;2;Restinga2
49;1;2;Restinga2
50;5;2;Restinga2
51;0;2;Restinga2
52;0;2;Restinga2
53;0;2;Restinga2
1;0;3;Restinga2
2;1;3;Restinga2
3;1;3;Restinga2
4;3;3;Restinga2
5;1;3;Restinga2
6;1;3;Restinga2
7;1;3;Restinga2
8;2;3;Restinga2
9;2;3;Restinga2
10;2;3;Restinga2
11;0;3;Restinga2
12;5;3;Restinga2
13;0;3;Restinga2
14;0;3;Restinga2
15;7;3;Restinga2
16;13;3;Restinga2
17;1;3;Restinga2
18;8;3;Restinga2
19;1;3;Restinga2
20;2;3;Restinga2
21;0;3;Restinga2
22;1;3;Restinga2
23;0;3;Restinga2
24;0;3;Restinga2
25;3;3;Restinga2
26;2;3;Restinga2
27;1;3;Restinga2
28;5;3;Restinga2
29;2;3;Restinga2
30;3;3;Restinga2
31;1;3;Restinga2
32;0;3;Restinga2
33;1;3;Restinga2
34;2;3;Restinga2
35;1;3;Restinga2
36;1;3;Restinga2
37;0;3;Restinga2
38;0;3;Restinga2
39;1;3;Restinga2
40;4;3;Restinga2
41;0;3;Restinga2
42;2;3;Restinga2
43;2;3;Restinga2
44;1;3;Restinga2
45;3;3;Restinga2
46;3;3;Restinga2
47;0;3;Restinga2
48;1;3;Restinga2
49;0;3;Restinga2
50;0;3;Restinga2
51;0;3;Restinga2
52;0;3;Restinga2
53;0;3;Restinga2
1;0;4;Restinga2
2;1;4;Restinga2
3;1;4;Restinga2
4;3;4;Restinga2
5;2;4;Restinga2
6;1;4;Restinga2
7;1;4;Restinga2
8;1;4;Restinga2
9;2;4;Restinga2
10;1;4;Restinga2
11;0;4;Restinga2
12;5;4;Restinga2
13;0;4;Restinga2
14;0;4;Restinga2
15;11;4;Restinga2
16;4;4;Restinga2
17;2;4;Restinga2
18;4;4;Restinga2
19;1;4;Restinga2
20;1;4;Restinga2
21;2;4;Restinga2
22;3;4;Restinga2
23;0;4;Restinga2
24;1;4;Restinga2
25;3;4;Restinga2
26;2;4;Restinga2
27;2;4;Restinga2
28;3;4;Restinga2
29;1;4;Restinga2
30;0;4;Restinga2
31;2;4;Restinga2
32;1;4;Restinga2
33;1;4;Restinga2
34;2;4;Restinga2
35;1;4;Restinga2
36;0;4;Restinga2
37;0;4;Restinga2
38;0;4;Restinga2
39;2;4;Restinga2
40;3;4;Restinga2
41;0;4;Restinga2
42;3;4;Restinga2
43;1;4;Restinga2
44;1;4;Restinga2
45;2;4;Restinga2
46;2;4;Restinga2
47;0;4;Restinga2
48;1;4;Restinga2
49;1;4;Restinga2
50;0;4;Restinga2
51;1;4;Restinga2
52;2;4;Restinga2
53;0;4;Restinga2
1;0;5;Restinga2
2;1;5;Restinga2
3;0;5;Restinga2
4;0;5;Restinga2
5;0;5;Restinga2
6;2;5;Restinga2
7;1;5;Restinga2
8;0;5;Restinga2
9;2;5;Restinga2
10;0;5;Restinga2
11;0;5;Restinga2
12;0;5;Restinga2
13;0;5;Restinga2
14;0;5;Restinga2
15;2;5;Restinga2
16;4;5;Restinga2
17;0;5;Restinga2
18;3;5;Restinga2
19;0;5;Restinga2
20;2;5;Restinga2
21;2;5;Restinga2
22;3;5;Restinga2
23;0;5;Restinga2
24;1;5;Restinga2
25;0;5;Restinga2
26;2;5;Restinga2
27;1;5;Restinga2
28;0;5;Restinga2
29;0;5;Restinga2
30;0;5;Restinga2
31;2;5;Restinga2
32;0;5;Restinga2
33;0;5;Restinga2
34;1;5;Restinga2
35;0;5;Restinga2
36;0;5;Restinga2
37;0;5;Restinga2
38;0;5;Restinga2
39;0;5;Restinga2
40;0;5;Restinga2
41;0;5;Restinga2
42;0;5;Restinga2
43;0;5;Restinga2
44;1;5;Restinga2
45;0;5;Restinga2
46;1;5;Restinga2
47;0;5;Restinga2
48;1;5;Restinga2
49;1;5;Restinga2
50;0;5;Restinga2
51;0;5;Restinga2
52;1;5;Restinga2
53;0;5;Restinga2
1;2;1;FlorestaTerrasBaixas
2;1;1;FlorestaTerrasBaixas
3;1;1;FlorestaTerrasBaixas
4;0;1;FlorestaTerrasBaixas
5;0;1;FlorestaTerrasBaixas
6;0;1;FlorestaTerrasBaixas
7;0;1;FlorestaTerrasBaixas
8;1;1;FlorestaTerrasBaixas
9;1;1;FlorestaTerrasBaixas
10;0;1;FlorestaTerrasBaixas
11;0;1;FlorestaTerrasBaixas
12;0;1;FlorestaTerrasBaixas
13;0;1;FlorestaTerrasBaixas
14;0;1;FlorestaTerrasBaixas
15;0;1;FlorestaTerrasBaixas
16;0;1;FlorestaTerrasBaixas
17;0;1;FlorestaTerrasBaixas
18;0;1;FlorestaTerrasBaixas
19;0;1;FlorestaTerrasBaixas
20;0;1;FlorestaTerrasBaixas
21;0;1;FlorestaTerrasBaixas
22;1;1;FlorestaTerrasBaixas
23;1;1;FlorestaTerrasBaixas
24;0;1;FlorestaTerrasBaixas
25;0;1;FlorestaTerrasBaixas
26;1;1;FlorestaTerrasBaixas
27;0;1;FlorestaTerrasBaixas
28;0;1;FlorestaTerrasBaixas
29;0;1;FlorestaTerrasBaixas
30;0;1;FlorestaTerrasBaixas
31;0;1;FlorestaTerrasBaixas
32;0;1;FlorestaTerrasBaixas
33;0;1;FlorestaTerrasBaixas
34;0;1;FlorestaTerrasBaixas
35;0;1;FlorestaTerrasBaixas
36;0;1;FlorestaTerrasBaixas
37;1;1;FlorestaTerrasBaixas
38;1;1;FlorestaTerrasBaixas
39;0;1;FlorestaTerrasBaixas
40;0;1;FlorestaTerrasBaixas
41;0;1;FlorestaTerrasBaixas
42;0;1;FlorestaTerrasBaixas
1;4;2;FlorestaTerrasBaixas
2;1;2;FlorestaTerrasBaixas
3;0;2;FlorestaTerrasBaixas
4;6;2;FlorestaTerrasBaixas
5;2;2;FlorestaTerrasBaixas
6;0;2;FlorestaTerrasBaixas
7;3;2;FlorestaTerrasBaixas
8;0;2;FlorestaTerrasBaixas
9;1;2;FlorestaTerrasBaixas
10;1;2;FlorestaTerrasBaixas
11;3;2;FlorestaTerrasBaixas
12;0;2;FlorestaTerrasBaixas
13;0;2;FlorestaTerrasBaixas
14;0;2;FlorestaTerrasBaixas
15;0;2;FlorestaTerrasBaixas
16;0;2;FlorestaTerrasBaixas
17;2;2;FlorestaTerrasBaixas
18;3;2;FlorestaTerrasBaixas
19;6;2;FlorestaTerrasBaixas
20;1;2;FlorestaTerrasBaixas
21;0;2;FlorestaTerrasBaixas
22;2;2;FlorestaTerrasBaixas
23;0;2;FlorestaTerrasBaixas
24;2;2;FlorestaTerrasBaixas
25;0;2;FlorestaTerrasBaixas
26;0;2;FlorestaTerrasBaixas
27;1;2;FlorestaTerrasBaixas
28;1;2;FlorestaTerrasBaixas
29;0;2;FlorestaTerrasBaixas
30;0;2;FlorestaTerrasBaixas
31;6;2;FlorestaTerrasBaixas
32;0;2;FlorestaTerrasBaixas
33;4;2;FlorestaTerrasBaixas
34;0;2;FlorestaTerrasBaixas
35;0;2;FlorestaTerrasBaixas
36;1;2;FlorestaTerrasBaixas
37;9;2;FlorestaTerrasBaixas
38;6;2;FlorestaTerrasBaixas
39;0;2;FlorestaTerrasBaixas
40;0;2;FlorestaTerrasBaixas
41;0;2;FlorestaTerrasBaixas
42;0;2;FlorestaTerrasBaixas
1;0;3;FlorestaTerrasBaixas
2;0;3;FlorestaTerrasBaixas
3;1;3;FlorestaTerrasBaixas
4;6;3;FlorestaTerrasBaixas
5;7;3;FlorestaTerrasBaixas
6;0;3;FlorestaTerrasBaixas
7;3;3;FlorestaTerrasBaixas
8;1;3;FlorestaTerrasBaixas
9;3;3;FlorestaTerrasBaixas
10;0;3;FlorestaTerrasBaixas
11;0;3;FlorestaTerrasBaixas
12;0;3;FlorestaTerrasBaixas
13;7;3;FlorestaTerrasBaixas
14;0;3;FlorestaTerrasBaixas
15;0;3;FlorestaTerrasBaixas
16;2;3;FlorestaTerrasBaixas
17;3;3;FlorestaTerrasBaixas
18;0;3;FlorestaTerrasBaixas
19;4;3;FlorestaTerrasBaixas
20;5;3;FlorestaTerrasBaixas
21;0;3;FlorestaTerrasBaixas
22;0;3;FlorestaTerrasBaixas
23;0;3;FlorestaTerrasBaixas
24;0;3;FlorestaTerrasBaixas
25;1;3;FlorestaTerrasBaixas
26;0;3;FlorestaTerrasBaixas
27;1;3;FlorestaTerrasBaixas
28;1;3;FlorestaTerrasBaixas
29;0;3;FlorestaTerrasBaixas
30;1;3;FlorestaTerrasBaixas
31;0;3;FlorestaTerrasBaixas
32;0;3;FlorestaTerrasBaixas
33;0;3;FlorestaTerrasBaixas
34;0;3;FlorestaTerrasBaixas
35;0;3;FlorestaTerrasBaixas
36;0;3;FlorestaTerrasBaixas
37;1;3;FlorestaTerrasBaixas
38;2;3;FlorestaTerrasBaixas
39;0;3;FlorestaTerrasBaixas
40;0;3;FlorestaTerrasBaixas
41;0;3;FlorestaTerrasBaixas
42;0;3;FlorestaTerrasBaixas
1;0;4;FlorestaTerrasBaixas
2;0;4;FlorestaTerrasBaixas
3;0;4;FlorestaTerrasBaixas
4;2;4;FlorestaTerrasBaixas
5;5;4;FlorestaTerrasBaixas
6;0;4;FlorestaTerrasBaixas
7;0;4;FlorestaTerrasBaixas
8;0;4;FlorestaTerrasBaixas
9;3;4;FlorestaTerrasBaixas
10;0;4;FlorestaTerrasBaixas
11;3;4;FlorestaTerrasBaixas
12;15;4;FlorestaTerrasBaixas
13;8;4;FlorestaTerrasBaixas
14;0;4;FlorestaTerrasBaixas
15;0;4;FlorestaTerrasBaixas
16;3;4;FlorestaTerrasBaixas
17;9;4;FlorestaTerrasBaixas
18;0;4;FlorestaTerrasBaixas
19;0;4;FlorestaTerrasBaixas
20;0;4;FlorestaTerrasBaixas
21;0;4;FlorestaTerrasBaixas
22;0;4;FlorestaTerrasBaixas
23;0;4;FlorestaTerrasBaixas
24;0;4;FlorestaTerrasBaixas
25;0;4;FlorestaTerrasBaixas
26;0;4;FlorestaTerrasBaixas
27;0;4;FlorestaTerrasBaixas
28;0;4;FlorestaTerrasBaixas
29;0;4;FlorestaTerrasBaixas
30;0;4;FlorestaTerrasBaixas
31;0;4;FlorestaTerrasBaixas
32;0;4;FlorestaTerrasBaixas
33;3;4;FlorestaTerrasBaixas
34;1;4;FlorestaTerrasBaixas
35;0;4;FlorestaTerrasBaixas
36;1;4;FlorestaTerrasBaixas
37;0;4;FlorestaTerrasBaixas
38;1;4;FlorestaTerrasBaixas
39;0;4;FlorestaTerrasBaixas
40;0;4;FlorestaTerrasBaixas
41;0;4;FlorestaTerrasBaixas
42;0;4;FlorestaTerrasBaixas
1;0;5;FlorestaTerrasBaixas
2;0;5;FlorestaTerrasBaixas
3;0;5;FlorestaTerrasBaixas
4;0;5;FlorestaTerrasBaixas
5;0;5;FlorestaTerrasBaixas
6;0;5;FlorestaTerrasBaixas
7;0;5;FlorestaTerrasBaixas
8;0;5;FlorestaTerrasBaixas
9;6;5;FlorestaTerrasBaixas
10;0;5;FlorestaTerrasBaixas
11;0;5;FlorestaTerrasBaixas
12;0;5;FlorestaTerrasBaixas
13;0;5;FlorestaTerrasBaixas
14;0;5;FlorestaTerrasBaixas
15;0;5;FlorestaTerrasBaixas
16;0;5;FlorestaTerrasBaixas
17;0;5;FlorestaTerrasBaixas
18;0;5;FlorestaTerrasBaixas
19;0;5;FlorestaTerrasBaixas
20;0;5;FlorestaTerrasBaixas
21;0;5;FlorestaTerrasBaixas
22;0;5;FlorestaTerrasBaixas
23;0;5;FlorestaTerrasBaixas
24;0;5;FlorestaTerrasBaixas
25;0;5;FlorestaTerrasBaixas
26;0;5;FlorestaTerrasBaixas
27;0;5;FlorestaTerrasBaixas
28;0;5;FlorestaTerrasBaixas
29;0;5;FlorestaTerrasBaixas
30;0;5;FlorestaTerrasBaixas
31;0;5;FlorestaTerrasBaixas
32;0;5;FlorestaTerrasBaixas
33;0;5;FlorestaTerrasBaixas
34;0;5;FlorestaTerrasBaixas
35;0;5;FlorestaTerrasBaixas
36;0;5;FlorestaTerrasBaixas
37;0;5;FlorestaTerrasBaixas
38;0;5;FlorestaTerrasBaixas
39;0;5;FlorestaTerrasBaixas
40;0;5;FlorestaTerrasBaixas
41;0;5;FlorestaTerrasBaixas
42;0;5;FlorestaTerrasBaixas
1;0;1;FlorestaSubmontana1
2;0;1;FlorestaSubmontana1
3;1;1;FlorestaSubmontana1
4;0;1;FlorestaSubmontana1
5;0;1;FlorestaSubmontana1
6;1;1;FlorestaSubmontana1
7;0;1;FlorestaSubmontana1
8;0;1;FlorestaSubmontana1
9;1;1;FlorestaSubmontana1
10;5;1;FlorestaSubmontana1
11;0;1;FlorestaSubmontana1
12;0;1;FlorestaSubmontana1
13;0;1;FlorestaSubmontana1
14;3;1;FlorestaSubmontana1
15;0;1;FlorestaSubmontana1
16;1;1;FlorestaSubmontana1
17;0;1;FlorestaSubmontana1
18;0;1;FlorestaSubmontana1
19;6;1;FlorestaSubmontana1
20;0;1;FlorestaSubmontana1
21;1;1;FlorestaSubmontana1
22;1;1;FlorestaSubmontana1
23;0;1;FlorestaSubmontana1
24;0;1;FlorestaSubmontana1
25;0;1;FlorestaSubmontana1
26;0;1;FlorestaSubmontana1
27;0;1;FlorestaSubmontana1
28;0;1;FlorestaSubmontana1
29;0;1;FlorestaSubmontana1
30;0;1;FlorestaSubmontana1
31;2;1;FlorestaSubmontana1
32;0;1;FlorestaSubmontana1
33;1;1;FlorestaSubmontana1
34;2;1;FlorestaSubmontana1
35;0;1;FlorestaSubmontana1
36;1;1;FlorestaSubmontana1
37;0;1;FlorestaSubmontana1
38;0;1;FlorestaSubmontana1
39;1;1;FlorestaSubmontana1
40;0;1;FlorestaSubmontana1
41;0;1;FlorestaSubmontana1
42;0;1;FlorestaSubmontana1
43;0;1;FlorestaSubmontana1
44;0;1;FlorestaSubmontana1
1;0;2;FlorestaSubmontana1
2;0;2;FlorestaSubmontana1
3;1;2;FlorestaSubmontana1
4;0;2;FlorestaSubmontana1
5;0;2;FlorestaSubmontana1
6;0;2;FlorestaSubmontana1
7;0;2;FlorestaSubmontana1
8;0;2;FlorestaSubmontana1
9;5;2;FlorestaSubmontana1
10;0;2;FlorestaSubmontana1
11;0;2;FlorestaSubmontana1
12;0;2;FlorestaSubmontana1
13;1;2;FlorestaSubmontana1
14;1;2;FlorestaSubmontana1
15;0;2;FlorestaSubmontana1
16;3;2;FlorestaSubmontana1
17;6;2;FlorestaSubmontana1
18;0;2;FlorestaSubmontana1
19;0;2;FlorestaSubmontana1
20;0;2;FlorestaSubmontana1
21;0;2;FlorestaSubmontana1
22;7;2;FlorestaSubmontana1
23;1;2;FlorestaSubmontana1
24;0;2;FlorestaSubmontana1
25;0;2;FlorestaSubmontana1
26;7;2;FlorestaSubmontana1
27;0;2;FlorestaSubmontana1
28;1;2;FlorestaSubmontana1
29;9;2;FlorestaSubmontana1
30;0;2;FlorestaSubmontana1
31;17;2;FlorestaSubmontana1
32;0;2;FlorestaSubmontana1
33;1;2;FlorestaSubmontana1
34;1;2;FlorestaSubmontana1
35;1;2;FlorestaSubmontana1
36;6;2;FlorestaSubmontana1
37;0;2;FlorestaSubmontana1
38;0;2;FlorestaSubmontana1
39;0;2;FlorestaSubmontana1
40;0;2;FlorestaSubmontana1
41;1;2;FlorestaSubmontana1
42;0;2;FlorestaSubmontana1
43;0;2;FlorestaSubmontana1
44;0;2;FlorestaSubmontana1
1;0;3;FlorestaSubmontana1
2;0;3;FlorestaSubmontana1
3;1;3;FlorestaSubmontana1
4;0;3;FlorestaSubmontana1
5;0;3;FlorestaSubmontana1
6;0;3;FlorestaSubmontana1
7;0;3;FlorestaSubmontana1
8;0;3;FlorestaSubmontana1
9;3;3;FlorestaSubmontana1
10;0;3;FlorestaSubmontana1
11;0;3;FlorestaSubmontana1
12;0;3;FlorestaSubmontana1
13;0;3;FlorestaSubmontana1
14;0;3;FlorestaSubmontana1
15;0;3;FlorestaSubmontana1
16;0;3;FlorestaSubmontana1
17;0;3;FlorestaSubmontana1
18;1;3;FlorestaSubmontana1
19;6;3;FlorestaSubmontana1
20;0;3;FlorestaSubmontana1
21;0;3;FlorestaSubmontana1
22;7;3;FlorestaSubmontana1
23;0;3;FlorestaSubmontana1
24;0;3;FlorestaSubmontana1
25;0;3;FlorestaSubmontana1
26;0;3;FlorestaSubmontana1
27;0;3;FlorestaSubmontana1
28;9;3;FlorestaSubmontana1
29;0;3;FlorestaSubmontana1
30;0;3;FlorestaSubmontana1
31;6;3;FlorestaSubmontana1
32;0;3;FlorestaSubmontana1
33;6;3;FlorestaSubmontana1
34;3;3;FlorestaSubmontana1
35;1;3;FlorestaSubmontana1
36;0;3;FlorestaSubmontana1
37;0;3;FlorestaSubmontana1
38;0;3;FlorestaSubmontana1
39;0;3;FlorestaSubmontana1
40;0;3;FlorestaSubmontana1
41;0;3;FlorestaSubmontana1
